Date Time,Turbidity Daily Mean (NTU),Quality Code
3/5/2013 0:00,39.99,1: Good data
3/6/2013 0:00,40.18,1: Good data
3/7/2013 0:00,35.96,1: Good data
3/8/2013 0:00,33.79,1: Good data
3/9/2013 0:00,36.55,1: Good data
3/10/2013 0:00,39.1,1: Good data
3/11/2013 0:00,38.77,1: Good data
3/12/2013 0:00,37.11,1: Good data
3/13/2013 0:00,34.95,1: Good data
3/14/2013 0:00,38.03,1: Good data
3/15/2013 0:00,40.48,1: Good data
3/16/2013 0:00, ,170: Unreliable Data
3/17/2013 0:00,40.83,1: Good data
3/18/2013 0:00,37.99,1: Good data
3/19/2013 0:00,40.11,1: Good data
3/20/2013 0:00,40.81,1: Good data
3/21/2013 0:00,37.36,1: Good data
3/22/2013 0:00,41.94,1: Good data
3/23/2013 0:00,40.69,1: Good data
3/24/2013 0:00,38.76,1: Good data
3/25/2013 0:00,45.22,1: Good data
3/26/2013 0:00,46.97,1: Good data
3/27/2013 0:00,38.17,1: Good data
3/28/2013 0:00,40.62,1: Good data
3/29/2013 0:00, ,255: No data exists
3/30/2013 0:00,45.09,1: Good data
3/31/2013 0:00,39.51,1: Good data
4/1/2013 0:00,36.46,1: Good data
4/2/2013 0:00,44.43,1: Good data
4/3/2013 0:00,46.86,1: Good data
4/4/2013 0:00,46.1,1: Good data
4/5/2013 0:00,45.92,1: Good data
4/6/2013 0:00,47.49,1: Good data
4/7/2013 0:00,51.55,1: Good data
4/8/2013 0:00,59.88,1: Good data
4/9/2013 0:00,57.78,1: Good data
4/10/2013 0:00,49.37,1: Good data
4/11/2013 0:00,48.13,1: Good data
4/12/2013 0:00,48.93,1: Good data
4/13/2013 0:00,45.28,1: Good data
4/14/2013 0:00,48.04,1: Good data
4/15/2013 0:00,47.05,1: Good data
4/16/2013 0:00,50.98,1: Good data
4/17/2013 0:00,45.68,1: Good data
4/18/2013 0:00,42.71,1: Good data
4/19/2013 0:00,46,1: Good data
4/20/2013 0:00,48,1: Good data
4/21/2013 0:00,50.44,1: Good data
4/22/2013 0:00,52.14,1: Good data
4/23/2013 0:00, ,170: Unreliable Data
4/24/2013 0:00, ,170: Unreliable Data
4/25/2013 0:00,50.16,1: Good data
4/26/2013 0:00,48.03,1: Good data
4/27/2013 0:00,48.66,1: Good data
4/28/2013 0:00, ,170: Unreliable Data
4/29/2013 0:00,51.13,1: Good data
4/30/2013 0:00,57.69,1: Good data
5/1/2013 0:00,54.84,1: Good data
5/2/2013 0:00,51.82,1: Good data
5/3/2013 0:00,46.67,1: Good data
5/4/2013 0:00,44.12,1: Good data
5/5/2013 0:00,52.5,1: Good data
5/6/2013 0:00,47.74,1: Good data
5/7/2013 0:00,45.14,1: Good data
5/8/2013 0:00,44.47,1: Good data
5/9/2013 0:00,32.86,1: Good data
5/10/2013 0:00,24.11,1: Good data
5/11/2013 0:00,18.95,1: Good data
5/12/2013 0:00,17.45,1: Good data
5/13/2013 0:00,22.31,1: Good data
5/14/2013 0:00, ,255: No data exists
5/15/2013 0:00,29.23,1: Good data
5/16/2013 0:00,29.6,1: Good data
5/17/2013 0:00,31.43,1: Good data
5/18/2013 0:00,32.24,1: Good data
5/19/2013 0:00,33.49,1: Good data
5/20/2013 0:00, ,255: No data exists
5/21/2013 0:00,59.49,1: Good data
5/22/2013 0:00,72.54,1: Good data
5/23/2013 0:00,59.09,1: Good data
5/24/2013 0:00,54.29,1: Good data
5/25/2013 0:00,64.89,1: Good data
5/26/2013 0:00,59.81,1: Good data
5/27/2013 0:00,50.19,1: Good data
5/28/2013 0:00,48.12,1: Good data
5/29/2013 0:00,44.24,1: Good data
5/30/2013 0:00,37.5,1: Good data
5/31/2013 0:00,32.64,1: Good data
6/1/2013 0:00,29.48,1: Good data
6/2/2013 0:00,31.33,1: Good data
6/3/2013 0:00,38.97,1: Good data
6/4/2013 0:00, ,170: Unreliable Data
6/5/2013 0:00,35.57,1: Good data
6/6/2013 0:00,36.93,1: Good data
6/7/2013 0:00,41.97,1: Good data
6/8/2013 0:00,43.27,1: Good data
6/9/2013 0:00,57.6,1: Good data
6/10/2013 0:00,59.44,1: Good data
6/11/2013 0:00,53.3,1: Good data
6/12/2013 0:00,55.13,1: Good data
6/13/2013 0:00,50.94,1: Good data
6/14/2013 0:00,43.11,1: Good data
6/15/2013 0:00,38.52,1: Good data
6/16/2013 0:00,40.96,1: Good data
6/17/2013 0:00,44.77,1: Good data
6/18/2013 0:00,45.75,1: Good data
6/19/2013 0:00,45.86,1: Good data
6/20/2013 0:00,45.34,1: Good data
6/21/2013 0:00,51.2,1: Good data
6/22/2013 0:00,55.12,1: Good data
6/23/2013 0:00,58.85,1: Good data
6/24/2013 0:00, ,170: Unreliable Data
6/25/2013 0:00,66.6,1: Good data
6/26/2013 0:00,56.37,1: Good data
6/27/2013 0:00,49.41,1: Good data
6/28/2013 0:00,39.91,1: Good data
6/29/2013 0:00, ,170: Unreliable Data
6/30/2013 0:00,41.19,1: Good data
7/1/2013 0:00,43.42,1: Good data
7/2/2013 0:00, ,255: No data exists
7/3/2013 0:00,53.35,1: Good data
7/4/2013 0:00, ,170: Unreliable Data
7/5/2013 0:00,60.21,1: Good data
7/6/2013 0:00,68.7,1: Good data
7/7/2013 0:00,70.38,1: Good data
7/8/2013 0:00,74.42,1: Good data
7/9/2013 0:00,67.45,1: Good data
7/10/2013 0:00,67.58,1: Good data
7/11/2013 0:00,70.33,1: Good data
7/12/2013 0:00,64.36,1: Good data
7/13/2013 0:00,58.56,1: Good data
7/14/2013 0:00,66.57,1: Good data
7/15/2013 0:00,83.26,1: Good data
7/16/2013 0:00,102.51,1: Good data
7/17/2013 0:00,113.87,1: Good data
7/18/2013 0:00,106.97,1: Good data
7/19/2013 0:00,118.36,1: Good data
7/20/2013 0:00, ,170: Unreliable Data
7/21/2013 0:00,122.3,1: Good data
7/22/2013 0:00,121.7,1: Good data
